Bedrooms,Bathrooms,Status,Size,Location,Price,Facing,Type
0,0,0,1944,34,68.04,1,3
2,2,1,1266,17,45.57,1,0
3,3,1,1587,56,55.5,8,0
0,0,2,1560,31,15.5,0,3
2,2,1,1450,56,48.0,1,0
2,2,3,1290,31,50.0,3,2
2,2,1,1200,56,40.0,1,0
3,3,1,1663,17,59.86,0,0
3,3,1,1500,23,56.0,1,1
3,3,1,2062,18,89.0,1,0
2,2,1,1250,14,39.0,1,0
2,2,1,1350,7,59.0,0,2
3,3,3,1600,77,95.0,8,1
6,7,1,3700,55,110.00000000000001,1,2
0,0,2,1782,31,16.83,1,3
0,0,2,1800,56,33.0,8,3
0,0,2,1500,31,20.0,1,3
3,3,1,1650,17,72.0,1,0
2,2,1,1000,52,56.0,1,2
2,2,3,1187,32,56.4,1,0
2,1,1,1151,23,28.18,1,0
0,0,0,1818,55,46.46,8,3
0,0,0,1647,31,25.61,1,3
0,0,0,1647,17,29.25,8,3
3,3,1,2000,32,102.0,1,0
2,2,1,1168,56,41.95,0,0
2,2,3,1200,7,58.8,0,0
0,0,0,1845,17,33.82,3,3
1,0,1,1054,31,26.5,1,0
3,3,1,1560,17,74.0,1,4
2,2,1,1400,45,57.0,1,0
2,2,3,1187,11,56.4,1,2
0,0,0,1647,13,32.94,8,0
0,0,0,1980,32,50.6,8,3
0,0,0,1647,17,29.09,0,3
3,3,1,1460,11,75.0,1,3
2,2,1,1266,17,44.13,0,0
3,3,1,2000,62,65.0,1,0
2,2,3,1150,32,48.0,0,0
0,0,2,1620,31,22.5,0,2
1,1,1,914,17,53.5,1,3
2,2,3,900,52,50.0,1,0
3,3,3,2109,7,103.0,0,2
2,2,1,1174,34,34.0,1,0
3,3,3,1870,8,125.0,1,0
0,0,0,1818,56,33.33,0,1
0,0,0,1647,56,43.92,1,3
0,0,2,1800,17,17.0,1,3
3,3,1,2000,67,105.0,1,3
0,0,0,1647,31,24.7,1,0
0,0,0,1080,82,9.6,1,3
3,0,1,1663,17,59.86,1,3
2,2,3,1350,13,59.99,1,0
2,2,3,1500,31,44.99,1,2
3,3,3,1260,20,50.0,1,2
1,1,1,661,17,28.0,1,0
0,0,0,1350,63,13.5,1,0
2,2,3,1280,31,44.99,1,3
2,2,1,1100,13,22.0,1,2
0,0,0,2205,38,41.5,1,0
0,0,0,1647,56,42.09,0,3
0,0,0,1800,31,28.0,1,3
0,0,2,1548,56,35.3,0,3
0,0,0,1485,17,27.0,1,3
0,0,0,2700,31,39.0,0,3
0,0,0,1773,20,23.64,3,3
0,0,0,1350,31,24.0,0,3
2,2,3,900,55,36.0,1,3
3,3,1,1700,72,76.5,1,2
2,2,3,1800,45,75.0,1,0
2,2,1,1005,37,42.0,1,2
2,2,1,800,85,27.0,1,0
2,2,1,900,52,25.75,1,0
3,3,1,2280,18,60.0,1,0
2,2,1,950,17,26.5,1,0
2,2,1,1500,32,65.0,0,5
2,2,3,1100,56,57.0,8,0
3,2,3,1260,31,10.4,1,2
3,3,1,1500,67,75.0,1,5
2,2,1,1023,56,30.0,1,0
3,3,3,1543,7,77.15,0,0
2,2,3,1200,7,76.58,1,0
0,0,0,1647,14,30.19,0,0
2,2,1,1350,55,59.99,1,3
2,0,1,1175,34,35.83,1,2
2,2,3,1350,55,59.99,1,0
3,3,1,2120,85,85.0,1,2
2,2,1,1242,11,85.0,1,1
0,0,0,1350,0,5.23,1,2
0,0,0,3150,55,71.75,8,3
0,0,2,1548,55,35.3,0,3
0,0,0,1500,17,28.0,0,3
2,2,1,900,2,68.0,1,1
2,2,1,1215,26,36.45,1,2
0,0,0,900,64,5.49,3,0
0,0,0,1647,62,29.09,0,0
0,0,0,1764,56,31.16,8,3
0,0,0,1764,56,32.34,0,3
0,0,0,1647,56,42.09,8,3
0,0,0,1719,14,31.51,0,3
0,0,0,1719,14,30.36,1,3
0,0,0,1719,14,30.36,8,3
0,0,0,1647,44,30.19,0,3
0,0,0,1647,44,29.09,8,3
0,0,0,1647,44,30.19,0,3
0,0,0,202,17,27.27,8,3
0,0,0,1647,44,29.09,8,3
0,0,0,1647,33,29.09,1,3
0,0,0,150,14,20.25,8,3
3,3,3,2350,32,98.7,1,3
2,2,3,1266,32,56.97,8,0
3,3,3,1512,32,68.04,0,0
3,3,3,1875,8,125.0,1,0
2,2,1,1200,7,45.55,1,1
2,2,1,1200,7,45.55,1,0
3,3,3,2350,32,98.7,1,0
2,2,3,1200,7,75.0,1,0
2,2,3,1250,32,59.4,0,0
3,3,3,1500,11,71.25,1,0
2,2,3,1203,32,54.13,1,0
3,3,3,2100,11,99.75,1,0
0,0,0,1647,31,25.61,1,0
0,0,0,1647,31,22.87,1,3
0,0,0,1638,56,42.0,8,3
0,0,0,1782,31,33.66,0,3
0,0,0,1650,17,34.0,0,3
0,0,0,1584,17,30.0,0,3
0,0,0,1647,31,31.11,0,3
0,0,0,1836,31,34.68,0,3
0,0,0,2052,31,38.76,0,3
0,0,0,1944,31,36.72,0,3
3,3,1,2000,67,108.0,1,3
3,3,1,2320,67,132.0,1,0
3,3,1,2000,32,100.0,1,0
3,3,1,2000,40,130.0,1,0
3,3,1,2070,67,130.0,1,1
3,3,1,2110,67,115.99999999999999,1,1
2,2,1,1460,67,76.01,1,0
3,3,1,1460,67,80.0,1,1
3,3,1,1460,67,80.01,1,0
0,0,0,1350,17,13.5,0,0
2,0,1,1221,34,37.24,1,5
2,0,1,1191,34,36.32,1,0
2,2,3,1250,7,61.25,0,0
3,3,3,1819,7,89.13,0,0
2,2,3,1280,7,62.72,0,0
3,2,1,1460,67,80.0,1,0
3,3,1,2000,32,100.0,1,0
3,3,1,2000,32,100.0,1,0
3,3,1,2000,32,98.0,1,0
3,3,1,1460,67,78.0,1,0
3,3,1,2110,67,114.99999999999999,1,0
0,0,0,1107,55,23.0,1,0
0,0,0,1500,31,19.99,0,3
0,0,0,864,64,4.32,3,3
0,0,0,1080,81,5.4,2,5
0,0,2,1548,32,35.3,1,3
0,0,0,1260,55,1.95,0,3
0,0,0,1746,13,3.58,0,3
0,0,0,2430,31,62.1,0,3
2,2,3,1350,31,35.0,1,3
2,2,3,1350,55,54.99,1,3
2,2,3,1350,31,35.0,1,2
2,2,3,1100,55,59.99,1,2
2,2,1,1440,31,42.0,1,1
2,2,3,1350,31,33.0,1,2
2,2,1,1050,19,33.0,1,2
2,2,1,1100,1,35.95,1,2
2,2,3,1200,31,49.99,1,0
2,2,3,1200,31,45.0,1,0
2,2,3,1500,31,44.99,1,2
2,2,3,1500,31,43.0,1,2
2,2,3,1300,55,49.99,1,2
2,2,3,1750,13,49.99,1,2
2,2,3,1201,33,46.85,1,2
3,3,3,3600,45,105.0,1,0
2,2,3,900,45,26.0,1,5
0,0,0,1080,0,4.2,3,5
0,0,0,1080,0,4.2,0,2
0,0,0,1080,64,5.4,3,3
0,0,0,1800,64,9.0,3,3
0,0,0,864,64,4.32,3,5
0,0,0,1080,0,4.2,4,3
0,0,0,1080,0,4.2,0,5
0,0,0,1080,0,4.2,3,3
0,0,0,990,0,4.95,3,5
0,0,0,1080,64,6.6,3,3
0,0,0,900,64,4.5,3,3
0,0,0,900,0,3.5,8,3
0,0,0,1080,0,4.2,4,3
0,0,0,1080,0,4.2,0,3
0,0,0,1080,0,4.2,3,3
0,0,0,1080,0,4.2,2,3
0,0,0,1080,0,4.2,5,3
0,0,0,900,6,4.5,3,3
0,0,0,1080,6,5.4,0,3
0,0,0,1080,6,5.4,3,3
2,2,1,1215,26,36.45,1,3
3,3,1,1625,26,48.75,1,3
3,3,1,1715,26,51.45,1,5
0,0,0,1080,81,5.4,0,5
0,0,0,1080,46,5.4,6,3
0,0,0,1080,0,5.4,2,5
0,0,0,1080,0,4.2,0,3
0,0,0,1080,0,5.4,0,0
0,0,0,1080,0,5.4,7,0
0,0,0,1080,0,5.4,6,0
0,0,0,1080,64,5.4,3,3
0,0,0,1080,0,5.4,4,3
0,0,0,900,0,3.5,3,3
0,0,0,1080,0,5.4,3,3
0,0,0,900,64,4.5,0,3
0,0,0,900,64,4.5,3,3
0,0,0,900,64,5.5,3,3
0,0,0,1800,64,9.0,3,3
0,0,0,1080,46,5.4,7,3
0,0,0,1080,46,5.4,4,3
0,0,0,1080,46,5.4,3,3
0,0,0,1080,46,5.4,8,3
0,0,0,1080,46,5.4,0,3
0,0,0,1080,46,5.4,2,3
0,0,0,1080,64,5.4,4,3
0,0,0,1080,46,5.4,5,5
0,0,0,1080,64,5.4,8,3
0,0,0,1080,64,5.4,8,3
0,0,0,1080,0,4.2,6,3
0,0,0,1080,64,5.4,5,3
0,0,0,1080,0,4.2,3,3
0,0,0,900,0,3.5,0,3
0,0,0,1080,64,5.4,3,3
0,0,0,1080,64,5.4,0,3
0,0,0,1080,0,5.4,0,3
0,0,0,1080,0,5.4,3,3
0,0,0,1080,0,5.4,5,3
0,0,0,1080,0,5.4,8,3
0,0,0,990,82,4.95,3,3
0,0,0,1080,48,5.4,5,3
0,0,0,990,82,4.95,8,3
0,0,0,990,82,4.95,0,3
0,0,0,1080,0,5.4,8,3
0,0,0,1080,0,5.4,3,3
0,0,0,1080,0,5.4,0,3
0,0,0,1080,0,4.8,3,3
0,0,0,1080,0,4.2,0,3
0,0,0,1080,0,4.2,0,3
0,0,0,1800,0,7.0,3,3
0,0,0,1800,17,7.0,3,3
0,0,0,1080,82,9.6,5,3
0,0,0,900,82,8.0,4,3
0,0,0,1080,82,9.6,3,3
0,0,0,1080,0,4.2,2,3
0,0,0,1017,28,4.95,1,3
0,0,0,1647,31,27.44,0,3
0,0,0,1350,19,16.29,0,3
0,0,0,1350,31,14.99,0,3
0,0,0,1110,55,22.99,0,3
0,0,0,1350,55,24.99,0,3
0,0,0,1350,19,22.5,1,3
0,0,2,1908,74,8.87,8,3
0,0,0,900,0,3.49,0,3
0,0,0,1350,0,5.99,0,3
0,0,0,900,63,3.5,0,3
0,0,0,1350,19,22.5,1,3
0,0,2,1908,74,8.87,8,3
0,0,0,900,0,3.49,0,3
0,0,0,900,41,3.6,1,3
0,0,0,1080,71,19.2,1,3
0,0,0,900,15,4.5,1,3
0,0,0,1215,57,18.22,1,3
0,0,0,1017,28,5.0,1,3
0,0,0,900,64,7.5,1,3
0,0,0,1350,31,16.5,0,3
0,0,0,1350,31,16.5,1,3
0,0,0,1350,55,19.99,0,3
0,0,0,1593,55,18.0,1,3
0,0,0,900,42,4.99,1,3
0,0,0,1350,55,18.0,0,3
0,0,0,2178,15,5.5,1,3
0,0,0,1650,31,9.99,0,3
3,3,3,2000,75,96.0,0,3
2,2,3,1647,32,60.0,0,3
0,0,0,1800,34,60.0,1,3
0,0,2,533,10,53.3,0,3
3,0,1,1752,71,63.0,1,3
2,2,3,1150,32,48.0,0,3
1,1,1,477,24,91.43,1,3
1,1,1,1103,73,26.5,1,3
3,3,3,1780,25,124.0,1,0
0,0,2,200,52,62.0,0,2
1,1,1,1013,73,38.48,1,5
1,1,1,1075,75,45.4,1,3
1,1,1,534,21,25.0,1,3
1,1,1,1350,40,38.73,1,1
1,1,1,534,21,52.9,1,2
1,1,1,819,24,75.6,1,0
1,1,1,1437,59,45.0,1,0
1,0,1,961,77,38.79,1,0
1,0,1,1500,17,43.2,1,3
0,0,0,200,63,70.0,1,2
0,0,2,1647,13,30.75,0,0
0,0,0,1647,55,40.0,0,2
0,0,0,1647,55,40.0,2,2
0,0,0,1647,55,40.0,2,0
0,0,0,200,31,13.99,8,0
0,0,2,3033,32,25.2,1,4
0,0,2,544,67,56.25,1,0
2,2,3,1350,63,44.99,1,0
3,3,1,1450,85,61.98,1,4
2,2,1,1350,85,52.0,1,3
0,0,0,1350,63,16.5,1,3
3,3,1,1500,88,45.99,1,3
2,2,1,1200,85,42.0,1,3
1,2,1,1151,23,34.5,3,3
0,0,0,1773,85,90.0,1,3
0,0,0,1305,32,54.39,1,3
3,3,1,1350,88,40.0,1,3
3,3,1,1905,17,66.0,1,3
3,3,1,1400,17,49.0,1,3
2,2,1,960,44,35.0,1,2
3,3,1,1549,44,63.0,1,0
3,3,1,1549,44,63.0,1,0
2,2,3,1200,31,54.0,1,3
2,2,3,1200,31,57.0,1,0
3,3,1,1485,17,46.0,1,0
3,3,1,1485,17,46.0,1,0
3,3,1,1485,17,46.0,1,3
3,3,1,1485,17,46.0,1,3
3,3,1,1485,17,46.0,1,0
3,3,1,1485,17,46.0,1,0
3,3,1,1485,17,46.0,1,0
3,3,1,1485,17,46.0,1,0
3,3,1,1485,17,46.0,1,0
3,3,1,1485,17,46.0,1,0
3,3,1,1485,17,46.0,1,5
3,3,1,1485,17,46.0,1,1
3,3,1,1485,17,46.0,1,0
2,2,1,960,44,37.0,1,0
2,2,1,960,44,37.0,1,0
2,2,3,1594,83,35.0,1,0
4,4,3,2650,56,105.0,1,0
2,2,1,1260,38,47.0,1,0
2,2,1,1100,22,57.5,1,0
2,2,1,900,62,40.0,1,0
2,2,1,970,31,43.0,1,0
3,4,1,2650,13,105.0,1,0
3,3,1,1600,4,57.0,1,0
3,3,1,1485,17,46.0,1,0
3,3,1,1485,17,46.0,1,0
3,3,1,1485,17,46.0,1,0
3,3,1,1438,17,46.0,1,2
3,3,1,1485,17,46.0,1,5
3,3,1,1485,17,46.0,1,0
3,3,1,1485,17,46.0,1,2
3,3,1,1485,17,46.0,1,2
3,3,1,1495,17,46.0,1,2
3,3,1,1495,17,46.0,1,5
3,3,1,1495,17,46.0,1,0
3,3,1,1495,17,46.0,1,0
3,3,1,1495,17,46.0,1,0
2,2,1,960,44,35.0,1,0
2,2,1,960,44,35.0,1,0
3,3,1,1549,44,63.0,1,0
3,3,1,1549,44,63.0,1,0
3,2,1,1549,44,63.0,1,0
2,3,1,960,44,35.0,1,0
2,2,1,960,44,37.0,1,0
3,3,1,1549,44,63.0,1,0
3,4,3,1549,44,63.0,1,0
3,3,1,1549,44,63.0,1,0
2,2,1,960,44,35.0,1,0
3,3,1,1905,17,66.67,1,0
2,2,3,1485,57,52.0,1,0
2,2,3,1485,57,52.0,1,0
2,2,3,1485,57,52.0,1,0
2,2,3,1485,57,52.0,1,0
2,2,3,1485,57,52.0,1,0
2,2,3,1485,57,52.0,1,0
2,2,3,1485,57,52.0,1,0
2,2,1,1905,17,66.67,1,0
2,2,1,1485,57,52.0,1,0
2,2,3,1485,57,52.0,1,0
3,3,1,1549,44,63.0,1,0
3,3,1,1549,44,63.0,1,0
3,3,1,1549,44,63.0,1,2
3,3,1,2000,17,70.0,1,2
3,3,1,1600,17,56.0,1,2
2,2,1,960,44,37.0,1,2
3,3,1,1549,44,63.0,1,2
3,3,1,1549,44,63.0,1,1
3,3,1,1549,44,63.0,1,2
2,2,1,960,44,35.0,1,0
2,2,1,960,44,37.0,1,2
3,3,1,1549,44,63.0,1,2
2,2,1,960,44,35.0,1,0
3,3,1,1459,32,62.0,1,0
2,2,1,1081,17,31.34,1,0
3,3,1,1204,17,34.91,1,0
0,0,0,1350,39,2.1,0,0
0,0,0,1647,22,30.2,0,0
0,0,0,1800,57,24.0,8,0
0,0,0,1800,6,24.0,2,0
0,0,0,1350,6,18.0,3,0
0,0,0,1350,6,18.0,0,0
0,0,0,1350,6,18.0,8,0
0,0,0,1350,57,18.0,2,0
0,0,0,900,57,12.0,0,0
0,0,0,900,57,12.0,8,0
0,0,0,900,57,12.0,2,0
0,0,0,280,74,15.4,8,0
0,0,0,1647,22,31.0,0,3
0,0,0,1485,57,18.97,0,3
0,0,0,1791,42,3.9,0,3
0,0,0,1818,13,35.35,0,3
0,0,0,1962,13,38.15,0,3
0,0,0,1710,13,31.35,8,3
0,0,0,1548,22,30.1,0,3
0,0,0,1647,22,32.02,0,3
0,0,0,1503,13,30.06,8,3
0,0,0,1467,13,29.34,8,3
0,0,0,1647,22,30.19,0,3
0,0,0,1557,13,31.14,8,3
0,0,0,1548,13,30.96,8,3
0,0,0,1512,13,30.24,8,3
0,0,0,1512,13,30.24,8,3
0,0,0,1710,13,34.2,8,3
0,0,0,1692,13,33.84,8,3
0,0,0,1683,13,33.66,8,3
0,0,0,1647,13,32.94,8,3
0,0,0,1566,13,31.32,8,3
0,0,0,1728,13,34.56,8,3
0,0,0,1719,13,34.38,8,3
0,0,0,1944,22,35.64,0,3
0,0,0,1548,22,28.38,0,3
0,0,0,1944,22,35.64,0,3
0,0,0,1764,22,32.34,0,3
0,0,0,1557,22,28.54,0,3
0,0,0,1836,22,32.43,8,3
0,0,0,1647,22,30.19,0,3
0,0,0,1818,22,33.33,0,3
0,0,0,1917,22,22.75,0,3
0,0,0,1818,22,33.33,0,3
0,0,0,1557,22,28.54,0,3
0,0,0,1647,22,20.09,8,3
0,0,0,1818,22,40.4,3,3
0,0,0,1503,22,27.55,0,3
0,0,0,1413,31,22.92,0,3
0,0,0,1503,31,26.38,8,3
0,0,0,1683,13,30.85,0,3
0,0,0,187,30,2.5,0,3
0,0,0,4077,13,54.36,0,3
0,0,0,3996,13,53.28,1,3
0,0,0,1620,13,33.3,0,3
0,0,0,3366,13,44.88,3,3
0,0,0,2439,13,32.52,3,3
0,0,0,1989,13,26.51,4,3
0,0,0,2475,13,33.0,4,3
0,0,0,1728,13,35.52,0,3
0,0,0,2304,13,30.72,4,3
0,0,0,1719,13,35.33,0,3
0,0,0,3942,13,50.37,3,3
0,0,0,3942,13,50.37,3,3
0,0,0,2655,13,35.4,6,3
0,0,0,2340,13,31.2,6,3
0,0,0,1899,13,25.32,6,3
0,0,0,1647,13,33.85,1,3
0,0,0,1800,13,24.0,6,3
0,0,0,491,13,58.92,1,3
0,0,0,3339,13,44.52,4,3
0,0,0,3213,13,42.84,4,3
0,0,0,3168,13,42.24,4,3
0,0,0,3150,13,42.0,4,3
0,0,0,3024,13,40.32,4,3
0,0,0,1440,13,28.8,8,3
0,0,0,1395,13,18.6,8,3
0,0,0,2637,13,35.16,7,3
0,0,0,2502,13,33.36,7,3
0,0,0,1872,13,24.96,7,3
0,0,0,1701,13,22.68,7,3
0,0,0,2745,13,36.6,6,3
0,0,0,1647,13,32.94,8,3
0,0,0,1566,13,31.32,8,3
0,0,0,1557,13,31.14,8,3
0,0,0,1548,13,30.96,8,3
0,0,0,1467,13,29.34,8,3
0,0,0,1458,13,29.16,8,3
0,0,0,1818,13,36.36,1,3
0,0,0,1674,13,22.32,0,3
0,0,0,1755,13,35.1,1,3
0,0,0,1746,13,34.92,1,3
0,0,0,1557,13,31.14,8,3
